   date,      temp,                   yen
2010-01,       7.0,                   362
2010-02,       6.5,                   305
2010-03,       9.1,                   383
2010-04,      12.4,                   464
2010-05,      19.0,                   752
2010-06,      23.6,                   841
2010-07,      28.0,                  1211
2010-08,      29.6,                  1451
2010-09,      25.1,                   864
2010-10,      18.9,                   504
2010-11,      13.5,                   351
2010-12,       9.9,                   423
2011-01,       5.1,                   346
2011-02,       7.0,                   289
2011-03,       8.1,                   329
2011-04,      14.5,                   462
2011-05,      18.5,                   672
2011-06,      22.8,                   791
2011-07,      27.3,                  1265
2011-08,      27.5,                  1241
2011-09,      25.1,                   767
2011-10,      19.5,                   516
2011-11,      14.9,                   393
2011-12,       7.5,                   423
2012-01,       4.8,                   339
2012-02,       5.4,                   274
2012-03,       8.8,                   385
2012-04,      14.5,                   524
2012-05,      19.6,                   671
2012-06,      21.4,                   798
2012-07,      26.4,                  1165
2012-08,      29.1,                  1332
2012-09,      26.2,                   849
2012-10,      19.4,                   515
2012-11,      12.7,                   326
2012-12,       7.3,                   414
2013-01,       5.5,                   363
2013-02,       6.2,                   322
2013-03,      12.1,                   438
2013-04,      15.2,                   525
2013-05,      19.8,                   761
2013-06,      22.9,                   878
2013-07,      27.3,                  1234
2013-08,      29.2,                  1437
2013-09,      25.2,                   794
2013-10,      19.8,                   549
2013-11,      13.5,                   370
2013-12,       8.3,                   445
2014-01,       6.3,                   396
2014-02,       5.9,                   309
2014-03,      10.4,                   447
2014-04,      15.0,                   520
2014-05,      20.3,                   803
2014-06,      23.4,                   900
2014-07,      26.8,                  1202
2014-08,      27.7,                  1238
2014-09,      23.2,                   748
2014-10,      19.1,                   570
2014-11,      14.2,                   419
2014-12,       6.7,                   455
